Language,Language-code,TotalRetweetsInThatLang,IDOfTweet,RetweetCount,Text
(Korean,ko,290862,777690071122055168,7967,RT @S_sax_the_Anlgo: 지금까지도 잊을 수 없는 트윗..  '여자의 적이 여자인지 아닌지는 확신할 수 없지만 한가지 확신할 수 있는건 여자의 적이 여자라고 말하고 다니는 새끼들은 여자의 적이다' <- 너무 명언이고 가끔식 자기전에 떠오…)
(Korean,ko,290862,779972507000463361,7249,RT @TEQHNIKACROSS: 인기가요가 전국 노래자랑에 도전을 걸었다고 한다 https://t.co/fYBiF0z1M8)
(Korean,ko,290862,779932498650202112,7149,RT @T_warri999: 아이가 먼저 왔는데 어떤 아저씨가 급하게 오며 "미안한데 아저씨 먼저 계산할게!" 라며 뭐지 이 사람은 이라 생각하며 서 있는데 그 아저씨가 새치기 해서 미안하니 네가 사려던거 같이 사주겠다며 다 결재하고 감)
(Korean,ko,290862,780355636773007360,7044,RT @GOT7Official: GOT7 <FLIGHT LOG : TURBULENCE> LIVE PREMIERE @ 2016. 9. 26 9PM(KST) GOT7은 리허설 중! https://t.co/b4DkpDpSLI #GOT7 #TURBULENC…)
(Korean,ko,290862,780030586350034944,6325,RT @joojaeduk77: 개한테 놀아달라고하는 호랑이ㅋㅋㅋㅋㅋㅋㅋㅋ https://t.co/7NmaGReBSl)
(Korean,ko,290862,742257357640503297,6282,RT @dksldpdy: 트위터 이용팁  - 불편하면 블락하세요 - 블락은 쓰라고 있는 기능이니 블락하세요 - 미안해 말고 블락하세요 - 맘고생하지 말고 평화를 위해 블락하세요 - 나 블락한 애는 반드시 블락하세요 - 그냥 블락하세요 - 블락하세요…)
(Korean,ko,290862,779934815072112640,6234,RT @inter_dipshit: 세계의 과자 나라별로 한달에 한번 보내주는 박스 룸메랑 신청했는데 첫달에 온게  하필 한국과자임 시벌 ㅋㅋㅋㅋㅋ https://t.co/hC0z9xTkaM)
(Korean,ko,290862,780200475723345920,6020,RT @todayjpg: 호란 매니저의 정체 https://t.co/XpWUYCj67p)
(Korean,ko,290862,766963241268318208,5933,RT @spsp_A: 트위터 많이 하시는 분들은 절때 아이폰 사지 마세요ㅎ 아이폰트위터 너무 쾌적하고 빠르고 인터페이스도 편해서 하루죙일 트위터 붙들고 있다 인생 망하는 지름길임)
(Korean,ko,290862,780353422398586881,5832,RT @GOT7Official: GOT7 <FLIGHT LOG : TURBULENCE> LIVE PREMIERE 단체 관람 아가새를 위한 팝콘&콜라 준비 완료!! #GOT7 #FLIGHTLOG #TURBULENCE #하드캐리 https://t.co/…)
